,Central Banks,Month &,Year,Status,Timeline Description,Name of the CBDC,Type,Structure,Technology Provider,Programmability,Interoperability,Governance structure,Centralized / decentralized,DLT / non-DLT,Technology,Main motivation/goals of the CBDC,Remuneration,International access,Caps/Limits,CBDC emission amount,Offline payments,Anonymity/Privacy,Distribution,Link to announcement,Link to whitepaper,Link to site of project,Links to social networks,Description,Announcement Year,Keywords
Jamaica,Bank of Jamaica,July,2022,Launched,"The Bank of Jamaica (BOJ) officially launched Jamaica’s JAM-DEX central bank digital currency (CBDC) through the Lynk app on July 11.  Lynk is currently the only transaction platform for Jamaicans to use their JAM-DEX. As part of the launch, the first 100,000 customers that signed up for JAM-DEX via the Lynk app were given an incentive bonus of J$2,500 JAM-DEX in their wallets by the Government of Jamaica.",JAM-DEX,Retail,,eCurrency Mint,,,,,Non-DLT,DSC,,,,,,,,,https://www.lynk.us/jamdex,,,,,2022,
Jamaica,Bank of Jamaica,December,2021,Launched,"The Bank of Jamaica has started a phased rollout of its JAM-DEX central bank digital currency (CBDC) while the process to amend the Bank of Jamaica Act (BOJA) progresses. The amendments to BOJA will make CBDC legal tender and enshrine the Bank as the sole issuer. Currently National Commercial Bank (NCB) offers JAM-DEX through its Lynk digital wallet. In this regard, anyone with Lynk will be able to transact using JAM-DEX with another Lynk wallet holder at a date to be advised by NCB. Other digital wallet providers are being assessed in the Bank’s Fintech Regulatory Sandbox in preparation for distributing JAM-DEX later this year.",JAM-DEX,Retail,,eCurrency Mint,,,,,Non-DLT,DSC,,,,,,,,,"https://boj.org.jm/jam-dex-phased-rollout-underway/
https://jis.gov.jm/senate-approves-central-bank-digital-currency/",,,,,,
Jamaica,Bank of Jamaica,December,2021,Pilot,"The Bank of Jamaica (BOJ), working with eCurrency Mint Inc., has successfully completed its central bank digital currency (CBDC) pilot work, and will begin a public rollout in Q1 2022. After a prototype was tested in the BOJ's Fintech Regulatory Sandbox, in May 2021 the National Commercial Bank (NCB) was brought onboard for further testing. On August 9-10 the BOJ minted $230 million of CBDC of which $1 million was distributed to BOJ staff for further internal testing.",JAM-DEX,Retail,,eCurrency Mint,,,,,Non-DLT,DSC,,,,,USD 230 Mn,,,,https://boj.org.jm/bojs-cbdc-pilot-project-a-success/,,,,,2021,
Jamaica,Bank of Jamaica,April,2021,Proof of concept,"The Bank of Jamaica is reportedly slated to commence national rollout of its central bank digital currency (CBDC) platform during the first quarter of 2022. National Commercial Bank is currently the sole deposit-taking institution participating in the CBDC proof of concept (PoC) slated to conclude in December. The PoC is being run with staff and their family members, and individuals and small merchants will be added before this year end. They will test person to person and person to business transactions, and automated banking machines cash-ins and cash-outs.",JAM-DEX,Retail,,eCurrency Mint,,,,,Non-DLT,DSC,"Financial inclusion, improved management processes and costs, and commitment to Jamaica's transition to a digital economy were are the primary benefits that Bank of Jamaica anticipated achieving with CBDC.",,,,,,,,"https://www.coindesk.com/jamaica-central-bank-pilot-cbdc-may
https://www.jamaicaobserver.com/news/digital-currency-by-next-year-cabinet-approved-procurement-of-the-system-monday-says-clarke_216675?profile=1373
https://boj.org.jm/boj-mints-first-batch-of-jamaicas-central-bank-digital-currency/
https://www.jamaicaobserver.com/apps/pbcs.dll/article?AID=%2F20210910%2FARTICLE%2F309109988",https://jis.gov.jm/boj-closer-to-rollout-of-digital-currency/,,,"In early 2020, Bank of Jamaica expressed its interests in exploring a CBDC.

In a July 2020 press reslease, Bank of Jamaica invited CBDC providers to submit development and testing plans for CBDC solutions in a controlled environment in its recently established Fintech Regulatory Sandbox.
In April 2021, it was announced that a pilot will be conduced from May 2021 until the end of the year.
The Bank of Jamaica is reportedly slated to commence national rollout of its central bank digital currency (CBDC) platform during the first quarter of 2022",,
Jamaica,Bank of Jamaica,July,2020,Research,"In early 2020, Bank of Jamaica expressed its interests in exploring a CBDC. In a July 2020 press release, Bank of Jamaica invited CBDC providers to submit development and testing plans for CBDC solutions in a controlled environment in its recently established Fintech Regulatory Sandbox.",JAM-DEX,"Retail,Wholesale",Account,,,,,,,,"Financial inclusion, improved management processes and costs, and commitment to Jamaica's transition to a digital economy were are the primary benefits that Bank of Jamaica anticipated achieving with CBDC.",,,,,,,,"http://www.boj.org.jm/uploads/news/boj_cbdc_press_release.pdf
https://cointelegraph.com/news/bank-of-jamaica-invites-tech-companies-to-test-digital-currency-solutions",,,,"In early 2020, Bank of Jamaica expressed its interests in exploring a CBDC.

In a July 2020 press release, Bank of Jamaica invited CBDC providers to submit development and testing plans for CBDC solutions in a controlled environment in its recently established Fintech Regulatory Sandbox.",2020,
Japan,Bank of Japan,April,2023,Proof of concept,The Bank of Japan (BoJ) published the results of Phase 2 of its central bank digital currency (CBDC) proof-of-concept (PoC) that was conducted between April 2022 and March 2023. The objective of the PoC Phase 2 was to uncover potential technical issues early as they relate to the basic functions covered in Phase 1. Some desirable peripheral functions not covered in Phase 1 were also added. Technical implementation and processing performance was aslo validated. ,Digital yen,Retail,,,,,,,,,,,,,,,,,https://medium.com/tokyo-fintech/bank-of-japan-cbdc-poc-phase-2-results-bd6d5f11d5e1,,,,,2023,
Japan,Bank of Japan,February,2023,Proof of concept,"The Bank of Japan (BoJ) will be ramping up its digital yen central bank digital currency (CBDC) proof of concept (PoC) work in April 2023. It will extend its technical feasibility work to modeling a CBDC ecosystem with the participation of private companies. No actual retail transactions will be made during the pilot, only simulated ones, so it is not a “pilot” as described in the announcement. In the new PoC phase, alternative data models, architectures for offline payments and other vital elements of the system will be tested, and a CBDC forum will be created.",Digital yen,Retail,,,,,,,,,,,,,,,,,https://www.boj.or.jp/en/about/press/koen_2023/ko230217a.htm https://www.boj.or.jp/en/paym/digital/dig230217b.pdf,,,,,2023,
Japan,Bank of Japan,December,2022,Proof of concept,"The Bank of Japan (BOJ) will reportedly begin preparations to conduct a retail central bank digital currency (CBDC) pilot next Spring (2023) year. During the two-year pilot programme, the BOJ will collaborate with private-sector banks to test deposits and withdrawals from accounts, as well as whether the currency can function in an emergency without internet access. Depending on the trial results, it will decide whether to launch a digital currency as early as 2026.",Digital yen,Retail,,,,,,,,,"The upcoming program is an end-stage trial with an eye towards implementation. BOJ will work with private-sector banks to test deposits and withdrawals from accounts, and check whether the currency can work without internet access in emergency scenarios.",,,,,,,,"https://www.reuters.com/markets/asia/boj-conduct-digital-yen-trial-with-japans-3-megabanks-others-nikkei-2022-11-23/ 
https://asia.nikkei.com/Business/Markets/Currencies/Top-Japan-banks-and-BOJ-to-begin-trials-of-digital-yen-next-year ",,,,,2022,
Japan,Bank of Japan,March ,2022,Proof of concept,"The Bank of Japan (BoJ) completed the first phase of its central bank digital currency (CBDC) proof of concept (PoC) workplan. The initial stage that started in April 2021 explored issuance, distribution and redemption. The next phase will implement additional functions and test their feasibility. Based on the PoC, if the Bank judges it necessary to step things up further, it will also consider a pilot program that involves payment service providers and end users. In Phase 2, the Bank plans to add more complex, additional CBDC functions to the core functions explored in Phase 1 and investigate their technical feasibility and challenges. After the PoC, if the Bank judges it necessary to move further forward, it will consider a pilot program that involves financial institutions and payment service providers. The Bank will also consider remuneration functionality, although it will not likely be implemented, as an interest-bearing CBDC could end up being too close a substitute for bank deposits.",Digital yen,Retail,,,,,,,,,,,,,,,,,https://www.ledgerinsights.com/bank-of-japan-enters-second-phase-of-cbdc-experiments/,,,,,,
Japan,Bank of Japan,March ,2021,Proof of concept,"Central bank official Uchina Shinichi sait that Japan ""will begin to test the technical feasibility of the core functions and features required for CBDC through a Proof of Concept (PoC) from April 2021. If the Bank judges it necessary to go a step further, it will also consider a pilot program that involves payment service providers (PSPs; e.g., banks and non-bank PSPs) and end users.""",Digital yen,Retail,,,,,,,,,"While the Bank of Japan currently has no plan to issue CBDC, from the viewpoint of ensuring the stability and efficiency of the overall payment and settlement systems, the Bank considers it important to prepare thoroughly to respond to changes in circumstances in an appropriate manner. With this in mind, the Bank decided that it would publish its approach to ""general purpose"" CBDC and conduct a Proof-of-concept in 2021.",,,,,,,,https://www.boj.or.jp/en/announcements/press/koen_2021/ko210326a.htm/,,,,"Japan has become the latest major economy to begin exploring the feasibility of a central bank digital currency (CBDC). The Bank of Japan (BoJ) is reportedly conducting research on a digital yen as it aims to keep up pace with neighboring China. A local digital currency forum is also working on ""some form of digital currency"" for Japan's private sector to complement the central bank's efforts.",2021,
Japan,Bank of Japan,December,2016,Research,"Project Stella is a joint research project conducted by the European Central Bank and Bank of Japan to explore the opportunity for DLT to support financial market infrastructure, payments, and securities settlement.
- Split over 4 Phases, phase 1 used distributed ledger technology (DLT) to process large-scale payments; phase 2, tested securities settlement in a DLT setting; phase 3, applied DLT-related technologies to improve cross-border payment efficiency; and phase 4 focused on the confidentiality and auditability of settlement assets, such as CBDC, in a DLT environment.",Stella,Other,Token,R3 Corda,,,,,DLT,,It explores the opportunity for DLT to improve financial market infrastructure to support payment and securities settlement.,,,,,Yes,,,"https://www.boj.or.jp/en/announcements/release_2020/data/rel201009e1.pdf
https://www.boj.or.jp/en/announcements/release_2020/data/rel200212a1.pdf
https://www.tbstat.com/wp/uploads/2020/08/KPMG-CBDC-Report.FINAL_.v.1.02.pdf",,,,"Project Stella is a joint research project conducted by the European Central Bank and Bank of Japan to explore the opportunity for DLT to support financial market infrastructure, payments, and securities settlement.
- Split over 4 Phases, phase 1 used distributed ledger technology (DLT) to process large-scale payments; phase 2, tested securities settlement in a DLT setting; phase 3, applied DLT-related technologies to improve cross-border payment efficiency; and phase 4 focused on the confidentiality and auditability of settlement assets, such as CBDC, in a DLT environment.",2016,
Jordan,Central Bank of Jordan,January,2022,Research,"Governor of the Central Bank of Jordan confirms that the bank is currently studying plans to issue a digital currency, CBDC, that is linked to the Jordanian currency.",,Retail,,,,,,,,,The key reasons for issuing a digital currency are still to be determined. Financial inclusion might be one of the reasons.,,,,,,,,https://www.unlock-bc.com/84074/central-bank-of-jordan-studying-the-launch-of-cbdc/,,,,A study is underway to develop a legal digital currency linked to Jordanian dinar.,2022,
Kazakhstan,National Bank of Kazakhstan,February,2023,Proof of concept,"The National Bank of Kazakhstan (NBK) will be conducting central bank digital currency (CBDC) proof-of-concept (PoC) work in 2023. This is according to a report published jointly by the central bank and Binance on digital asset regulation, the digital asset industry and decentralized finance (DeFi) in Central Asia. However, it mentioned that in 2023, the NBK is planning to build several PoC scenarios of integration between the experimental Digital Tenge platform and BnB chain in 2023 to explore opportunities of DeFi and TradFi industry players’ cooperation under central bank supervision.",Digital Tenge,Retail,Token,"R3 Corda, Binance",,,,,DLT ,,"National Bank of Kazakhstan perceives a multitude of possibilities arising from the harmonization of conventional and decentralized finance, as well as the interplay between regulators and the market. It aims to foster a sound and equitable regulatory atmosphere for digital assets and cryptocurrencies that guarantees their innovative capacity while safeguarding consumer rights and maintaining macro-financial stability, as the main objectives of the Digital Tenge project is to test the concept’s feasibility through experimental confirmation of the retail platform’s technological viability based on distributed ledger technology, as well as to determine the main parameters of the CBDC Model for Kazakhstan in cooperation with all stakeholders.",,,,,,,,https://www.binance.com/en/blog/ecosystem/binance-and-the-national-bank-of-kazakhstan-to-deliver-state-of-the-digital-assets-industry-and-defi-in-central-asia-bilateral-report-3149486037457876511 ,https://drive.google.com/file/d/1HBoDssEY_jf325m1Hg2RGPgVKiNFI85q/view,,,,2023,
Kazakhstan,National Bank of Kazakhstan,December,2022,Proof of concept,"The National Bank of Kazakhstan (NBK) and the Payment and Financial Technology Development Center of the Bank of Kazakhstan published the English version of their report on the second phase of their digital tenge central bank digital currency (CBDC) feasibility study. The second phase was comprised primarily of proof-of-concept work involving select financial institutions, merchants and final users. The report calls it a “pilot” but is silent on who the selected final users were. If they were central bank employees, it is a proof-of-concept by most CBDC exploration workflow taxonomies, but if users were selected from the general public, then it’s a pilot. In any case, the report recommends a phased rollout starting in 2023 with a gradual expansion of its functionality and step-by-step introduction into production scale by the end of 2025.",Digital Tenge,Retail,Token,R3 Corda,,,,,DLT ,,,,,,,,,,https://nationalbank.kz/en/page/cifrovoy-tenge-pilotnyy-proekt,,,,,2022,
Kazakhstan,National Bank of Kazakhstan,October,2022,Proof of concept,"The National Bank of Kazakhstan (NBK) will test the Binance blockchain network BNB Chain for potential integration into the country’s Digital Tenge retail CBDC. This comes a week after the NBK completed a week of CBDC proof-of-concept tests, imitating an actual production environment with Digital Tenge wallets provided through local financial institutions’ interfaces, with 200 real central bank staffers and 4 merchants.",Digital Tenge,Retail,Token ,R3 Corda,DLT,,,,DLT,,"The NBK launched a CBDC pilot which included the participation of local merchants and consumers. Binance CEO Zhao said he looks forward to the bank further developing use cases to “bridge the gap between traditional banking and the crypto ecosystem.”
This development is one of many in the network’s effort to push crypto adoption, particularly in Kazakhstan.",,,,,,,,https://cointelegraph.com/news/kazakhstan-to-build-central-bank-digital-currency-on-bnb-chain,,,,,2022,
Kazakhstan,National Bank of Kazakhstan,October,2022,Proof of concept,"The National Bank of the Republic of Kazakhstan (NBK) launched a one-week Digital Tenge central bank digital currency (CBDC) proof-of-concept (PoC) involving NBK staff and local merchants (much like the National Bank of Ukraine 2019 PoC). The NBK PoC will test basic payment scenarios (e.g., C2B, P2P), non-functional requirements, and programmability. For example, it will test special-purpose tokens on which consumer might purchase only from the “white list” of merchants or products, within particular time period etc. In parallel, the NBK is finalizing its research and development for offline and advanced smart contract deployment on its platform.",Digital Tenge,Retail,Token ,R3 Corda,DLT,,,,DLT,,"The main objectives of the project is to test the Digital Tenge concept’s feasibility through experimental confirmation of the retail platform’s technological viability based on distributed ledger technology, as well as to determine the main parameters of the CBDC Model for Kazakhstan in cooperation with all stakeholders.",,,,,,,,https://nationalbank.kz/en/page/cifrovoy-tenge-pilotnyy-proekt,,,,,2022,
Kazakhstan,National Bank of Kazakhstan,September,2022,Proof of concept,"The final decision on the National Bank of Kazakhstan’s Digital Tenge project has reportedly not yet been made, but is expected to be announced by the end of 2022, the project’s head Ainur Kenzhayeva said in an interview with The Astana Times. The team is working now to expand the platform’s functionality. A pilot project with the participation of real users in a limited loop is also planned for this fall.",Digital Tenge,Retail,Token,R3 Corda,,,,,DLT,,,,,,,,,,https://astanatimes.com/2022/09/final-decision-on-digital-tenge-still-pending-in-kazakhstan-says-projects-head/,,,,,2022,
Kazakhstan,National Bank of Kazakhstan,December,2021,Proof of concept,The key objectives were to assess the viability of the digital tenge concept through the experimental confirmation of the technological feasibility of a retail platform based on distributed ledger technology as well as to determine the basic parameters of the CBDC model for Kazakhstan together with all stakeholders.,Digital Tenge,Retail,Token,R3 Corda,,,,,DLT,,,,,,,,,,"https://nationalbank.kz/en/page/cifrovoy-tenge-pilotnyy-proekt
https://nationalbank.kz/en/news/novosti/13818",,,,"May: Public Consultation Report released
May: December: a series of dedicated meetings and discussions held with market participants, expert community, public authorities as well as international partners
June: launch of a pilot project to assess technical feasibility of Digital Tenge, within which a prototype platform was implemented and a number of scenarios with connection of external participants that involved second-tier banks were examined
September: polls and interviews with market participants to specify the priorities and needs in development of new payment instruments
November: preliminary results of the pilot project were presented within the IX Congress of Kazakhstan Financiers
December: preparation of the report on pilot project results",2021,
Kazakhstan,National Bank of Kazakhstan,May,2021,Research,The National Bank of Kazakhstan announced plans to launch a pilot project focused on digital tenge. A respective research report is expected to be launched by the end of 2021.,Digital Tenge,Retail,Token,R3 Corda,Yes,Yes,,,DLT,,"The key reasons for issuing a digital currency are still to be determined. Currently, two reasons are financial inclusion as well as accelerate the innovation in the industry.",,,,,,,Two-tiered distribution,https://nationalbank.kz/en/page/cifrovoy-tenge-pilotnyy-proekt,,,,"In May 2020, Mu Xin, a senior Kazakh government adviser, proposed the introduction of blockchain technology and the digital tenge. This would aim to combat corruption and ensure transparency in the allocation of state budget funds. In June, Kazakhstan adopted a development outline for blockchain and digital technology. At present, the Central Bank of Kazakhstan is demonstrating the feasibility of introducing the CBDC tenge.",,
Kazakhstan,National Bank of Kazakhstan,May,2020,Research,"At present, the Central Bank of Kazakhstan is analyzing various technical infrastructure and regulatory measures, and formulating a scenario report on Kazakhstan's introduction of digital currency, which is planned to be officially released in the second half of 2021.",Digital Tenge,Retail,Account,Waves,Yes,Yes,,,DLT,,Part of a government strategy to become a center for the global block reward mining sector.,,,,,,,,"https://asiatimes.com/2020/07/khazakstan-doubles-mining-investment-eyes-cbdc/
https://nationalbank.kz/en/page/cifrovoy-tenge-pilotnyy-proekt",,,,"In May 2020, Mu Xin, a senior Kazakh government adviser, proposed the introduction of blockchain technology and the digital tenge. This would aim to combat corruption and ensure transparency in the allocation of state budget funds. In June, Kazakhstan adopted a development outline for blockchain and digital technology. At present, the Central Bank of Kazakhstan is demonstrating the feasibility of introducing the CBDC tenge.",2020,
Kenya,Central Bank of Kenya,February,2022,Research,Released research/discussion paper on CBDC,,Retail,,,,,,,,,"Financial Stability, Integrity, Inclusion",,,,,,,,,https://centralbank.go.ke/uploads/discussion_papers/CentralBankDigitalCurrency.pdf,,,,,
Kenya,Central Bank of Kenya,October,2020,Research,,,Retail,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=NDJnee6b1DQ,,,,,,
Kenya,Central Bank of Kenya,July,2018,Research,"The Central Bank of Kenya (CBK) is in discussions with other central banks globally regarding the introduction of a central bank digital currency. The regulator is also exploring digital currency regulations, recognizing the high adoption in the East African country.",,"Retail,Wholesale",,,,,,,,,The bank is looking at how a CBDC can help it to achieve its mandates which include stabilizing the Kenyan economy.,,,,,,,,https://coingeek.com/kenyan-central-bank-exploring-cbdcs-digital-currency-regulation/,,,,The bank is looking at how a CBDC can help it to achieve its mandates which include stabilizing the Kenyan economy.,2018,
Kuwait,Central Bank of Kuwait,April,2023,Research,"The governor of Kuwait's Central Bank has stated that they are closely monitoring the experiences of other countries that are issuing CBDCs, as well as the debates among stakeholders. The Bank has assembled a team of experts from various fields within the CBK to study the topic, and any issuance of a CBDC would need to ensure the preservation of monetary and financial stability, while maintaining confidence in Kuwait's payment system.",,Retail ,,AkCess,,,,,,Hyperledger Fabric,"The bank is researching CBDC and stated that any such issuance would need to be accomplished in a way that preserves monetary and financial stability, while maintaining confidence in Kuwait’s payment system.",,,,,,,,,,,,,2023,
Kuwait,Central Bank of Kuwait,September,2019,Research,This CBDC infrastructure is under development to ensure the Digital Dinar can be launched quickly by CBK should it choose to do so,,Retail,,,,,,,,,,,,,,,,,https://www.kfh.com/dam/jcr:fcf731eb-b3d0-4a71-8ef6-80c54448b4c6/Kuwait-Banking-Report-2019.pdf,,,,,2019,
Laos,Bank of the Lao PDR,February,2023,Proof of concept,Japanese software developer Soramitsu said the Bank of the Lao is launching a Digital Lao Kip (DLak) central bank digital currency (CBDC) proof of concept. Soramitsu was responsible for developing the Bank of Cambodia's Project Bakong blockchain-based payment system that has been incorrectly referred to as a CBDC system. This Bank of the Lao project looks like a CBDC platform  ,,Retail,,Soramitsu ,,,,,,,"The objectives of a CBDC implementation by the Bank of the Lao PDR are:
1) Financial inclusion to the broader population, in order to provide digital financial services to people who do not have access to bank accounts;
2) Cross-border remittances, to reduce remittance times and costs from migrant destinations such as neighboring countries;
3) CBDC is a way to advance the sophistication of payment systems, as well as ensuring economic security through a local currency that does not depend on other countries.",,,,,,,, https://soramitsu.co.jp/dlak-cbdc,,,,,2023,
Laos,Bank of the Lao PDR,October,2022,Research,"A study will assess the potential contributions of CBDC to financial inclusion, as well as to the operation of the Lao financial system in general. It will furthermore explore the applicability of cross-border schemes similar to those developed by the NBC and Maybank, as well as ambitious multi-CBDC arrangements involving numerous central banks.",,Retail,,Soramitsu ,,,,,,,Study will focus on the capacity of central bank digital currencies to contribute to inclusive economic growth in Laos.,,,,,,,,https://soramitsu.co.jp/digital-currency-research,,,,,2022,
Laos,Bank of the Lao P.D.R,October,2021,Research,Laos will explore issuing its own digital currency with support from a Japanese financial technology startup Soramitsu.,,Retail,,Soramitsu ,,,,,,,"Extend the reach of its currency, the kip, as a digital Chinese yuan looms as a potentially powerful presence in the Southeast Asian nation with close economic ties to China.",,,,,,,,https://asia.nikkei.com/Business/Markets/Currencies/Laos-enlists-Japan-startup-for-study-on-digital-currency,,,,"Soramitsu will undertake the Laos study, which will asses the role of banks and other intermediaries and the country's needs for financial inclusiveness, among other areas. If Laos decides to issue a digital currency, Soramitsu may play a role in its development.",2021,
Lebanon,Lebanon's central bank,November,2020,Research,"Banque du Liban Governor, Riad Salameh, said on November 2020 that the bank would issue a central bank digital currency (CBDC) in 2021, according to the national news agency.

Salameh believes that a CBDC might encourage $10 billion of cash stored in homes to be converted to CBDC.",,Retail,,,,,,,,,"The CBDC project is part of a ""regulatory mechanism"" to restore confidence in Lebanon's troubled banking sector. CBDC will also help Lebanon move to a ""cashless system"" that enables more seamless cash movement locally and abroad.",,,,,,,,"https://cointelegraph.com/news/lebanese-central-bank-governor-criticizes-bitcoin-as-unregulated-commodities
https://www.ledgerinsights.com/lebanon-planning-central-bank-digital-currency-in-2021-cbdc/
https://www.coindesk.com/lebanon-digital-currency-2021",,,,"The Governor of the central bank of Lebanon Riad Salamed, in October 2017, announced the central bank plan to eventually issue its own digital currency. In the announcement, he stated his belief that electronic currency will be very important in the future, but first the bank must develop safeguards against cybercrime.

In November 2018 during his keynote speech at Al-Iktissad-Wal-Aamal Anti Cyber Crim Forum, Governor Riad commented that the bank has a working group researching the implementation of digital currency, which would be pegged to the Lira.

The most recent update came in April 2020, when he reiterated that the bank was working on a digital currency, which Governor Riad believes will lead to a more cost effective method of making payments.",2020,
Macau,Macau Government,April,2021,Research,Macau started a feasibility study of an own CBDC.,,Retail,,,,,,,,,Macau has moved a step closer to the potential introduction of a digital currency as it seeks to better combat money laundering and tax evasion in the world's biggest gambling hub.,,,,,,,,https://www.scmp.com/economy/china-economy/article/3129481/macau-study-feasibility-digital-currency-potential-threat,,,,,2021,
Madagascar,Banky Foiben'i Madagasikara,August,2021,Research,The central bank currently requests information to identify providers and integrators that can implement a CBDC.,e-Ariary,Retail,,,,,,,,,"The main goals are to improve financial inclusion, to reduce costs for cash management and to strenghthen monetary sovereignity.",,,,,,,,https://www.banky-foibe.mg/actualite/project-e-ariary-request-for-information-quotation,,,,Madagascar is at exploratory stage.,2021,
Malaysia,Bank Negara Malaysia,March,2022,Research,"Bank Negara Malaysia laid out its central bank digital currency (CBDC) plans in its 2021 annual report. Beyond its current participation in the Bank for International Settlements (BIS) Innovation Hub’s Project Dunbar for cross border payments, it is also planning to explore a domestic wholesale CBDC later this year.",,Wholesale,,,,,,,,,,,,,,,,,https://www.ledgerinsights.com/malaysia-to-explore-both-wholesale-retail-cbdc/,https://www.bnm.gov.my/-/ar2021_en_pr,,,Explore Wholesale CBDC,2022,
Malaysia,Bank Negara Malaysia,January,2022,Proof of concept,"Bank Negara Malaysia is actively assessing the value proposition of central bank digital currency (CBDC) to Malaysia. Decision has not been made to issue CBDC yet but they have focused their research on CBDC via proof-of-concept and experimentation to enhance their technical and policy capabilities, should the need to issue CBDC arise in the future.",E-ringgit,Retail,,,,,,,,,,,,,,,,,https://www.bloomberg.com/news/articles/2022-01-17/malaysia-s-central-bank-studies-need-for-a-digital-currency?sref=VbrgyGO4,,,,,2022,
Malaysia,Bank Negara Malaysia,March,2017,Research,In 2017 it released a Research paper to study CBDC and in 2021 Committed to Accelerate CBDC Work.,E-ringgit,Retail,,,,,,,,,Financial Inclusion,,,,,,,,https://www.bnm.gov.my/documents/20124/826874/CB_Digital+Currency_Print.pdf/e8e3bee6-4763-9c92-cba0-f33d5b2065f5?t=1585033291374 https://www.bnm.gov.my/documents/20124/3026128/ar2020_en_box2_digitalcurrency.pdf,,,,Research Paper (2017) and Commitment to Acceleeate (Work (2021),2017,
Mauritius,The Bank of Mauritius,April,2023,Research,"The Bank of Mauritius (BoM) will launch a digital rupee retail central bank digital currency (CBDC) in November 2023. It will be non-interest bearing and in the initial phase restricted to domestic use only, with cross-border transactions to be considered in a subsequent phase. The central bank cited as motivations protecting monetary sovereignty and supporting anti-money laundering and countering the financing of terrorism (AML/CFT) efforts. Also, according to the BoM, it is the first central bank to benefit from IMF technical assistance in this respect.",,Retail,,,,,,,,,,,,,,,,,https://www.bom.mu/media/speeches/keynote-address-mr-harvesh-kumar-seegolam-governor-bank-mauritius-international-monetary-fundworld,,,,,2023,
Mauritius,The Bank of Mauritius,July,2022,Research,"The Bank of Mauritius is still considering CBDC issuance, and as part of its recent Article IV consultation the IMF published a paper that assesses the potential impact on liquidity management and monetary policy transmission of various designs of Mauritian Digital Rupee. It finds that issuing a CBDC, especially when remunerated, may not bring clear advantages for liquidity management and may lead to complications for the transmission of the policy rate to market rates. A simpler option of non-interest-bearing retail Digital Rupee could be a safer option as it would lead to a lower risk of interference with policy transmission. ",,Retail ,,,,,,,,,Capacity development (CD) helps support improvements in authorities’ macroeconomic policy.,,,,,,,,https://www.imf.org/en/Publications/CR/Issues/2022/07/15/Mauritius-Staff-Report-for-the-2022-Article-IV-Consultation-Press-Release-and-Staff-Report-520844 ,,,,The Bank of Mauritius is still considering CBDC issuance and contemplating a non-interest-bearing retail Digital Rupee.,2022,
Mauritius,The Bank of Mauritius,April,2021,Research,A pilot project is expected sometime in 2021 according to an annoucement by the current central bank's governor Harvesh Seegolam.,,Retail,Token,,,,,,,,,,,,,,,,"https://www.bis.org/review/r210414e.htm
https://www.coindesk.com/bank-of-mauritius-cbdc-pilot-consensus-2021",,,,The Central Bank of Mauritius (BoM) first began exploring a CBDC in November of 2019.,,
Mauritius,The Bank of Mauritius,November,2019,Research,The Central Bank of Mauritius (BoM) first began exploring a CBDC in November of 2019.,,Retail,Token,,,,,,,,,,,,,,,,,,,,,2019,
Mexico,Bank of Mexico (Banxico),January,2023,Research,"A Mexican central bank digital currency (CBDC) is reportedly still in its initial stages of development, with the general directorate of payment systems and market infrastructures indicating that it is still determining the requirements for its issuance. Also, in response to a transparency request made by El Sol de México, Banxico said that for the fiscal year of 2022 10.22 million pesos (about $535,000) were allocated to the central bank's CBDC project, obtained from the fees charged to financial institutions for using the Interbank Electronic Payment System.",Moneda digital del banco central (MDBC),Retail,,,,,,,,,"The asset, which is expected to be launched in 2024, will allow opening accounts to contribute to financial inclusion in the country.",,,,,,,,,,,,,2023,
Mexico,Banco de México,April,2022,Research,"The new Governor of the Bank of Mexico,Victoria Rodríguez Ceja,confirmed plans to release a retail central bank digital currency (CBDC) during 2025.",,Retail,,,,,,,,,"During a presentation to the Mexican Senate, the Governor said the first goal of its CBDC will be financial inclusion. It also wants to provide more fast payments options and ensure the economy is efficient and interoperable. The Governor said she’s also keen to enable programmable money and promote innovation.",,,,,,,,https://www.ledgerinsights.com/mexico-plans-a-retail-cbdc-by-2025/,,,,,,
Mexico,Banco de México,December,2021,Research,"The President of Mexico tweeted that El Banco de México will issue a central bank digital currency (#CBDC) by 2024, citing financial inclusion as one of the motives.The new incoming Governor Victoria Rodriguez Ceja reportedly told a Senate Commission in early December that El Banco de México was analyzing CBDC.",,Retail,,,,,,,,,Financial Inclusion,,,,,,,,https://www.independentespanol.com/noticias/victoria-rodriguez-ceja-senado-mexicano-banxico-b1968148.html,,,,Banco de México will start analyzing incorporation the digital alternative of currency,2021,
Mongolia,Bank of Mongolia,December,2022,Research,"The Bank of Mongolia (BOM) has reportedly included central bank digital currency (CBDC) experiments in its 2023 monetary policy agenda. It has already established a working group and preliminary research has begun, with priority CBDC design questions including the degree of anonymity, whether to impose caps on holdings, whether it should bear interest, and it can be used to mitigate money laundering and terrorist financing",Mongolia CBDC ,,,,,,,,,,,,,,,,,,"https://insidemongolia.beehiiv.com/p/mongolia-joins-cbdc-race-tugrik-weakening-november-politics
https://www.imf.org/en/Publications/fintech-notes/Issues/2022/09/27/Towards-Central-Bank-Digital-Currencies-in-Asia-and-the-Pacific-Results-of-a-Regional-Survey-523914?utm_source=pocket_mylist 
https://www.mongolbank.mn/eng/default.aspx",,,,,2022,
